PA,SZ,TOD,Pop,Time
Ang Mo Kio,Cheng San,HDB 1- and 2-Room Flats,770,2000
Ang Mo Kio,Cheng San,HDB 3-Room Flats,18810,2000
Ang Mo Kio,Cheng San,HDB 4-Room Flats,8810,2000
Ang Mo Kio,Cheng San,HDB 5-Room and Executive Flats,3430,2000
Ang Mo Kio,Cheng San,HUDC Flats (excluding those privatised),0,2000
Ang Mo Kio,Cheng San,Landed Properties,0,2000
Ang Mo Kio,Cheng San,Condominiums and Other Apartments,0,2000
Ang Mo Kio,Cheng San,Others,220,2000
Ang Mo Kio,Chong Boon,HDB 1- and 2-Room Flats,1310,2000
Ang Mo Kio,Chong Boon,HDB 3-Room Flats,16850,2000
Ang Mo Kio,Chong Boon,HDB 4-Room Flats,10550,2000
Ang Mo Kio,Chong Boon,HDB 5-Room and Executive Flats,3940,2000
Ang Mo Kio,Chong Boon,HUDC Flats (excluding those privatised),0,2000
Ang Mo Kio,Chong Boon,Landed Properties,0,2000
Ang Mo Kio,Chong Boon,Condominiums and Other Apartments,0,2000
Ang Mo Kio,Chong Boon,Others,300,2000
Ang Mo Kio,Kebun Bahru,HDB 1- and 2-Room Flats,1640,2000
Ang Mo Kio,Kebun Bahru,HDB 3-Room Flats,13450,2000
Ang Mo Kio,Kebun Bahru,HDB 4-Room Flats,7580,2000
Ang Mo Kio,Kebun Bahru,HDB 5-Room and Executive Flats,2490,2000
Ang Mo Kio,Kebun Bahru,HUDC Flats (excluding those privatised),0,2000
Ang Mo Kio,Kebun Bahru,Landed Properties,1360,2000
Ang Mo Kio,Kebun Bahru,Condominiums and Other Apartments,0,2000
Ang Mo Kio,Kebun Bahru,Others,300,2000
Ang Mo Kio,Seletar,HDB 1- and 2-Room Flats,0,2000
Ang Mo Kio,Seletar,HDB 3-Room Flats,0,2000
Ang Mo Kio,Seletar,HDB 4-Room Flats,0,2000
Ang Mo Kio,Seletar,HDB 5-Room and Executive Flats,0,2000
Ang Mo Kio,Seletar,HUDC Flats (excluding those privatised),0,2000
Ang Mo Kio,Seletar,Landed Properties,0,2000
Ang Mo Kio,Seletar,Condominiums and Other Apartments,0,2000
Ang Mo Kio,Seletar,Others,0,2000
Ang Mo Kio,Sembawang Hills,HDB 1- and 2-Room Flats,0,2000
Ang Mo Kio,Sembawang Hills,HDB 3-Room Flats,0,2000
Ang Mo Kio,Sembawang Hills,HDB 4-Room Flats,0,2000
Ang Mo Kio,Sembawang Hills,HDB 5-Room and Executive Flats,0,2000
Ang Mo Kio,Sembawang Hills,HUDC Flats (excluding those privatised),0,2000
Ang Mo Kio,Sembawang Hills,Landed Properties,5770,2000
Ang Mo Kio,Sembawang Hills,Condominiums and Other Apartments,160,2000
Ang Mo Kio,Sembawang Hills,Others,140,2000
Ang Mo Kio,Shangri-La,HDB 1- and 2-Room Flats,2480,2000
Ang Mo Kio,Shangri-La,HDB 3-Room Flats,10110,2000
Ang Mo Kio,Shangri-La,HDB 4-Room Flats,6500,2000
Ang Mo Kio,Shangri-La,HDB 5-Room and Executive Flats,2260,2000
Ang Mo Kio,Shangri-La,HUDC Flats (excluding those privatised),0,2000
Ang Mo Kio,Shangri-La,Landed Properties,310,2000
Ang Mo Kio,Shangri-La,Condominiums and Other Apartments,0,2000
Ang Mo Kio,Shangri-La,Others,150,2000
Ang Mo Kio,Sindo,HDB 1- and 2-Room Flats,0,2000
Ang Mo Kio,Sindo,HDB 3-Room Flats,0,2000
Ang Mo Kio,Sindo,HDB 4-Room Flats,0,2000
Ang Mo Kio,Sindo,HDB 5-Room and Executive Flats,0,2000
Ang Mo Kio,Sindo,HUDC Flats (excluding those privatised),0,2000
Ang Mo Kio,Sindo,Landed Properties,4870,2000
Ang Mo Kio,Sindo,Condominiums and Other Apartments,2310,2000
Ang Mo Kio,Sindo,Others,40,2000
Ang Mo Kio,Town Centre,HDB 1- and 2-Room Flats,0,2000
Ang Mo Kio,Town Centre,HDB 3-Room Flats,590,2000
Ang Mo Kio,Town Centre,HDB 4-Room Flats,0,2000
Ang Mo Kio,Town Centre,HDB 5-Room and Executive Flats,1560,2000
Ang Mo Kio,Town Centre,HUDC Flats (excluding those privatised),0,2000
Ang Mo Kio,Town Centre,Landed Properties,0,2000
Ang Mo Kio,Town Centre,Condominiums and Other Apartments,0,2000
Ang Mo Kio,Town Centre,Others,90,2000
Ang Mo Kio,Townsville,HDB 1- and 2-Room Flats,1570,2000
Ang Mo Kio,Townsville,HDB 3-Room Flats,9280,2000
Ang Mo Kio,Townsville,HDB 4-Room Flats,8500,2000
Ang Mo Kio,Townsville,HDB 5-Room and Executive Flats,2180,2000
Ang Mo Kio,Townsville,HUDC Flats (excluding those privatised),0,2000
Ang Mo Kio,Townsville,Landed Properties,0,2000
Ang Mo Kio,Townsville,Condominiums and Other Apartments,0,2000
Ang Mo Kio,Townsville,Others,90,2000
Ang Mo Kio,Yio Chu Kang,HDB 1- and 2-Room Flats,2450,2000
Ang Mo Kio,Yio Chu Kang,HDB 3-Room Flats,9280,2000
Ang Mo Kio,Yio Chu Kang,HDB 4-Room Flats,6500,2000
Ang Mo Kio,Yio Chu Kang,HDB 5-Room and Executive Flats,3610,2000
Ang Mo Kio,Yio Chu Kang,HUDC Flats (excluding those privatised),0,2000
Ang Mo Kio,Yio Chu Kang,Landed Properties,2690,2000
Ang Mo Kio,Yio Chu Kang,Condominiums and Other Apartments,5280,2000
Ang Mo Kio,Yio Chu Kang,Others,110,2000
Bedok,Bayshore,HDB 1- and 2-Room Flats,0,2000
Bedok,Bayshore,HDB 3-Room Flats,0,2000
Bedok,Bayshore,HDB 4-Room Flats,0,2000
Bedok,Bayshore,HDB 5-Room and Executive Flats,0,2000
Bedok,Bayshore,HUDC Flats (excluding those privatised),0,2000
Bedok,Bayshore,Landed Properties,520,2000
Bedok,Bayshore,Condominiums and Other Apartments,3490,2000
Bedok,Bayshore,Others,30,2000
Bedok,Bedok North,HDB 1- and 2-Room Flats,2910,2000
Bedok,Bedok North,HDB 3-Room Flats,41160,2000
Bedok,Bedok North,HDB 4-Room Flats,26310,2000
Bedok,Bedok North,HDB 5-Room and Executive Flats,11390,2000
Bedok,Bedok North,HUDC Flats (excluding those privatised),0,2000
Bedok,Bedok North,Landed Properties,3870,2000
Bedok,Bedok North,Condominiums and Other Apartments,770,2000
Bedok,Bedok North,Others,1050,2000
Bedok,Bedok Reservoir,HDB 1- and 2-Room Flats,0,2000
Bedok,Bedok Reservoir,HDB 3-Room Flats,3430,2000
Bedok,Bedok Reservoir,HDB 4-Room Flats,8770,2000
Bedok,Bedok Reservoir,HDB 5-Room and Executive Flats,5470,2000
Bedok,Bedok Reservoir,HUDC Flats (excluding those privatised),2270,2000
Bedok,Bedok Reservoir,Landed Properties,0,2000
Bedok,Bedok Reservoir,Condominiums and Other Apartments,0,2000
Bedok,Bedok Reservoir,Others,100,2000
Bedok,Bedok South,HDB 1- and 2-Room Flats,1850,2000
Bedok,Bedok South,HDB 3-Room Flats,11260,2000
Bedok,Bedok South,HDB 4-Room Flats,17350,2000
Bedok,Bedok South,HDB 5-Room and Executive Flats,8340,2000
Bedok,Bedok South,HUDC Flats (excluding those privatised),0,2000
Bedok,Bedok South,Landed Properties,11260,2000
Bedok,Bedok South,Condominiums and Other Apartments,3890,2000
Bedok,Bedok South,Others,510,2000
Bedok,Frankel,HDB 1- and 2-Room Flats,230,2000
Bedok,Frankel,HDB 3-Room Flats,0,2000
Bedok,Frankel,HDB 4-Room Flats,0,2000
Bedok,Frankel,HDB 5-Room and Executive Flats,0,2000
Bedok,Frankel,HUDC Flats (excluding those privatised),0,2000
Bedok,Frankel,Landed Properties,21380,2000
Bedok,Frankel,Condominiums and Other Apartments,8340,2000
Bedok,Frankel,Others,880,2000
Bedok,Kaki Bukit,HDB 1- and 2-Room Flats,350,2000
Bedok,Kaki Bukit,HDB 3-Room Flats,7460,2000
Bedok,Kaki Bukit,HDB 4-Room Flats,17960,2000
Bedok,Kaki Bukit,HDB 5-Room and Executive Flats,16450,2000
Bedok,Kaki Bukit,HUDC Flats (excluding those privatised),0,2000
Bedok,Kaki Bukit,Landed Properties,830,2000
Bedok,Kaki Bukit,Condominiums and Other Apartments,280,2000
Bedok,Kaki Bukit,Others,150,2000
Bedok,Kembangan,HDB 1- and 2-Room Flats,2530,2000
Bedok,Kembangan,HDB 3-Room Flats,8590,2000
Bedok,Kembangan,HDB 4-Room Flats,6180,2000
Bedok,Kembangan,HDB 5-Room and Executive Flats,8110,2000
Bedok,Kembangan,HUDC Flats (excluding those privatised),0,2000
Bedok,Kembangan,Landed Properties,8750,2000
Bedok,Kembangan,Condominiums and Other Apartments,2630,2000
Bedok,Kembangan,Others,490,2000
Bedok,Siglap,HDB 1- and 2-Room Flats,0,2000
Bedok,Siglap,HDB 3-Room Flats,0,2000
Bedok,Siglap,HDB 4-Room Flats,0,2000
Bedok,Siglap,HDB 5-Room and Executive Flats,0,2000
Bedok,Siglap,HUDC Flats (excluding those privatised),1750,2000
Bedok,Siglap,Landed Properties,0,2000
Bedok,Siglap,Condominiums and Other Apartments,5600,2000
Bedok,Siglap,Others,10,2000
Bishan,Bishan East,HDB 1- and 2-Room Flats,0,2000
Bishan,Bishan East,HDB 3-Room Flats,2600,2000
Bishan,Bishan East,HDB 4-Room Flats,13750,2000
Bishan,Bishan East,HDB 5-Room and Executive Flats,14450,2000
Bishan,Bishan East,HUDC Flats (excluding those privatised),0,2000
Bishan,Bishan East,Landed Properties,0,2000
Bishan,Bishan East,Condominiums and Other Apartments,0,2000
Bishan,Bishan East,Others,60,2000
Bishan,Marymount,HDB 1- and 2-Room Flats,0,2000
Bishan,Marymount,HDB 3-Room Flats,0,2000
Bishan,Marymount,HDB 4-Room Flats,16040,2000
Bishan,Marymount,HDB 5-Room and Executive Flats,8730,2000
Bishan,Marymount,HUDC Flats (excluding those privatised),0,2000
Bishan,Marymount,Landed Properties,3140,2000
Bishan,Marymount,Condominiums and Other Apartments,360,2000
Bishan,Marymount,Others,70,2000
Bishan,Upper Thomson,HDB 1- and 2-Room Flats,650,2000
Bishan,Upper Thomson,HDB 3-Room Flats,4210,2000
Bishan,Upper Thomson,HDB 4-Room Flats,5240,2000
Bishan,Upper Thomson,HDB 5-Room and Executive Flats,4980,2000
Bishan,Upper Thomson,HUDC Flats (excluding those privatised),2210,2000
Bishan,Upper Thomson,Landed Properties,8780,2000
Bishan,Upper Thomson,Condominiums and Other Apartments,4250,2000
Bishan,Upper Thomson,Others,480,2000
Boon Lay/Pioneer,Benoi Sector,HDB 1- and 2-Room Flats,0,2000
Boon Lay/Pioneer,Benoi Sector,HDB 3-Room Flats,0,2000
Boon Lay/Pioneer,Benoi Sector,HDB 4-Room Flats,0,2000
Boon Lay/Pioneer,Benoi Sector,HDB 5-Room and Executive Flats,0,2000
Boon Lay/Pioneer,Benoi Sector,HUDC Flats (excluding those privatised),0,2000
Boon Lay/Pioneer,Benoi Sector,Landed Properties,0,2000
Boon Lay/Pioneer,Benoi Sector,Condominiums and Other Apartments,0,2000
Boon Lay/Pioneer,Benoi Sector,Others,0,2000
Boon Lay/Pioneer,Gul Basin,HDB 1- and 2-Room Flats,0,2000
Boon Lay/Pioneer,Gul Basin,HDB 3-Room Flats,0,2000
Boon Lay/Pioneer,Gul Basin,HDB 4-Room Flats,0,2000
Boon Lay/Pioneer,Gul Basin,HDB 5-Room and Executive Flats,0,2000
Boon Lay/Pioneer,Gul Basin,HUDC Flats (excluding those privatised),0,2000
Boon Lay/Pioneer,Gul Basin,Landed Properties,0,2000
Boon Lay/Pioneer,Gul Basin,Condominiums and Other Apartments,0,2000
Boon Lay/Pioneer,Gul Basin,Others,0,2000
Boon Lay/Pioneer,Gul Circle,HDB 1- and 2-Room Flats,0,2000
Boon Lay/Pioneer,Gul Circle,HDB 3-Room Flats,0,2000
Boon Lay/Pioneer,Gul Circle,HDB 4-Room Flats,0,2000
Boon Lay/Pioneer,Gul Circle,HDB 5-Room and Executive Flats,0,2000
Boon Lay/Pioneer,Gul Circle,HUDC Flats (excluding those privatised),0,2000
Boon Lay/Pioneer,Gul Circle,Landed Properties,0,2000
Boon Lay/Pioneer,Gul Circle,Condominiums and Other Apartments,0,2000
Boon Lay/Pioneer,Gul Circle,Others,0,2000
Boon Lay/Pioneer,Joo Koon,HDB 1- and 2-Room Flats,0,2000
Boon Lay/Pioneer,Joo Koon,HDB 3-Room Flats,0,2000
Boon Lay/Pioneer,Joo Koon,HDB 4-Room Flats,0,2000
Boon Lay/Pioneer,Joo Koon,HDB 5-Room and Executive Flats,0,2000
Boon Lay/Pioneer,Joo Koon,HUDC Flats (excluding those privatised),0,2000
Boon Lay/Pioneer,Joo Koon,Landed Properties,0,2000
Boon Lay/Pioneer,Joo Koon,Condominiums and Other Apartments,0,2000
Boon Lay/Pioneer,Joo Koon,Others,0,2000
Boon Lay/Pioneer,Liu Fang,HDB 1- and 2-Room Flats,0,2000
Boon Lay/Pioneer,Liu Fang,HDB 3-Room Flats,0,2000
Boon Lay/Pioneer,Liu Fang,HDB 4-Room Flats,0,2000
Boon Lay/Pioneer,Liu Fang,HDB 5-Room and Executive Flats,0,2000
Boon Lay/Pioneer,Liu Fang,HUDC Flats (excluding those privatised),0,2000
Boon Lay/Pioneer,Liu Fang,Landed Properties,0,2000
Boon Lay/Pioneer,Liu Fang,Condominiums and Other Apartments,0,2000
Boon Lay/Pioneer,Liu Fang,Others,0,2000
Boon Lay/Pioneer,Pioneer Sector,HDB 1- and 2-Room Flats,0,2000
Boon Lay/Pioneer,Pioneer Sector,HDB 3-Room Flats,0,2000
Boon Lay/Pioneer,Pioneer Sector,HDB 4-Room Flats,0,2000
Boon Lay/Pioneer,Pioneer Sector,HDB 5-Room and Executive Flats,0,2000
Boon Lay/Pioneer,Pioneer Sector,HUDC Flats (excluding those privatised),0,2000
Boon Lay/Pioneer,Pioneer Sector,Landed Properties,0,2000
Boon Lay/Pioneer,Pioneer Sector,Condominiums and Other Apartments,0,2000
Boon Lay/Pioneer,Pioneer Sector,Others,0,2000
Boon Lay/Pioneer,Samulun,HDB 1- and 2-Room Flats,0,2000
Boon Lay/Pioneer,Samulun,HDB 3-Room Flats,0,2000
Boon Lay/Pioneer,Samulun,HDB 4-Room Flats,0,2000
Boon Lay/Pioneer,Samulun,HDB 5-Room and Executive Flats,0,2000
Boon Lay/Pioneer,Samulun,HUDC Flats (excluding those privatised),0,2000
Boon Lay/Pioneer,Samulun,Landed Properties,0,2000
Boon Lay/Pioneer,Samulun,Condominiums and Other Apartments,0,2000
Boon Lay/Pioneer,Samulun,Others,0,2000
Boon Lay/Pioneer,Shipyard,HDB 1- and 2-Room Flats,0,2000
Boon Lay/Pioneer,Shipyard,HDB 3-Room Flats,0,2000
Boon Lay/Pioneer,Shipyard,HDB 4-Room Flats,0,2000
Boon Lay/Pioneer,Shipyard,HDB 5-Room and Executive Flats,0,2000
Boon Lay/Pioneer,Shipyard,HUDC Flats (excluding those privatised),0,2000
Boon Lay/Pioneer,Shipyard,Landed Properties,0,2000
Boon Lay/Pioneer,Shipyard,Condominiums and Other Apartments,0,2000
Boon Lay/Pioneer,Shipyard,Others,0,2000
Boon Lay/Pioneer,Tukang,HDB 1- and 2-Room Flats,0,2000
Boon Lay/Pioneer,Tukang,HDB 3-Room Flats,0,2000
Boon Lay/Pioneer,Tukang,HDB 4-Room Flats,0,2000
Boon Lay/Pioneer,Tukang,HDB 5-Room and Executive Flats,0,2000
Boon Lay/Pioneer,Tukang,HUDC Flats (excluding those privatised),0,2000
Boon Lay/Pioneer,Tukang,Landed Properties,0,2000
Boon Lay/Pioneer,Tukang,Condominiums and Other Apartments,0,2000
Boon Lay/Pioneer,Tukang,Others,0,2000
Bukit Batok,Brickworks,HDB 1- and 2-Room Flats,0,2000
Bukit Batok,Brickworks,HDB 3-Room Flats,0,2000
Bukit Batok,Brickworks,HDB 4-Room Flats,0,2000
Bukit Batok,Brickworks,HDB 5-Room and Executive Flats,0,2000
Bukit Batok,Brickworks,HUDC Flats (excluding those privatised),0,2000
Bukit Batok,Brickworks,Landed Properties,0,2000
Bukit Batok,Brickworks,Condominiums and Other Apartments,0,2000
Bukit Batok,Brickworks,Others,0,2000
Bukit Batok,Bukit Batok Central,HDB 1- and 2-Room Flats,110,2000
Bukit Batok,Bukit Batok Central,HDB 3-Room Flats,4690,2000
Bukit Batok,Bukit Batok Central,HDB 4-Room Flats,12340,2000
Bukit Batok,Bukit Batok Central,HDB 5-Room and Executive Flats,7150,2000
Bukit Batok,Bukit Batok Central,HUDC Flats (excluding those privatised),0,2000
Bukit Batok,Bukit Batok Central,Landed Properties,0,2000
Bukit Batok,Bukit Batok Central,Condominiums and Other Apartments,0,2000
Bukit Batok,Bukit Batok Central,Others,70,2000
Bukit Batok,Bukit Batok East,HDB 1- and 2-Room Flats,0,2000
Bukit Batok,Bukit Batok East,HDB 3-Room Flats,7170,2000
Bukit Batok,Bukit Batok East,HDB 4-Room Flats,6060,2000
Bukit Batok,Bukit Batok East,HDB 5-Room and Executive Flats,2320,2000
Bukit Batok,Bukit Batok East,HUDC Flats (excluding those privatised),0,2000
Bukit Batok,Bukit Batok East,Landed Properties,0,2000
Bukit Batok,Bukit Batok East,Condominiums and Other Apartments,0,2000
Bukit Batok,Bukit Batok East,Others,130,2000
Bukit Batok,Bukit Batok South,HDB 1- and 2-Room Flats,0,2000
Bukit Batok,Bukit Batok South,HDB 3-Room Flats,0,2000
Bukit Batok,Bukit Batok South,HDB 4-Room Flats,6420,2000
Bukit Batok,Bukit Batok South,HDB 5-Room and Executive Flats,5410,2000
Bukit Batok,Bukit Batok South,HUDC Flats (excluding those privatised),0,2000
Bukit Batok,Bukit Batok South,Landed Properties,640,2000
Bukit Batok,Bukit Batok South,Condominiums and Other Apartments,1160,2000
Bukit Batok,Bukit Batok South,Others,30,2000
Bukit Batok,Bukit Batok West,HDB 1- and 2-Room Flats,0,2000
Bukit Batok,Bukit Batok West,HDB 3-Room Flats,5790,2000
Bukit Batok,Bukit Batok West,HDB 4-Room Flats,6640,2000
Bukit Batok,Bukit Batok West,HDB 5-Room and Executive Flats,3670,2000
Bukit Batok,Bukit Batok West,HUDC Flats (excluding those privatised),0,2000
Bukit Batok,Bukit Batok West,Landed Properties,0,2000
Bukit Batok,Bukit Batok West,Condominiums and Other Apartments,0,2000
Bukit Batok,Bukit Batok West,Others,80,2000
Bukit Batok,Gombak,HDB 1- and 2-Room Flats,0,2000
Bukit Batok,Gombak,HDB 3-Room Flats,0,2000
Bukit Batok,Gombak,HDB 4-Room Flats,0,2000
Bukit Batok,Gombak,HDB 5-Room and Executive Flats,0,2000
Bukit Batok,Gombak,HUDC Flats (excluding those privatised),0,2000
Bukit Batok,Gombak,Landed Properties,660,2000
Bukit Batok,Gombak,Condominiums and Other Apartments,260,2000
Bukit Batok,Gombak,Others,80,2000
Bukit Batok,Guilin,HDB 1- and 2-Room Flats,0,2000
Bukit Batok,Guilin,HDB 3-Room Flats,4090,2000
Bukit Batok,Guilin,HDB 4-Room Flats,2690,2000
Bukit Batok,Guilin,HDB 5-Room and Executive Flats,2530,2000
Bukit Batok,Guilin,HUDC Flats (excluding those privatised),0,2000
Bukit Batok,Guilin,Landed Properties,0,2000
Bukit Batok,Guilin,Condominiums and Other Apartments,1830,2000
Bukit Batok,Guilin,Others,20,2000
Bukit Batok,Hillview,HDB 1- and 2-Room Flats,170,2000
Bukit Batok,Hillview,HDB 3-Room Flats,2770,2000
Bukit Batok,Hillview,HDB 4-Room Flats,1610,2000
Bukit Batok,Hillview,HDB 5-Room and Executive Flats,1150,2000
Bukit Batok,Hillview,HUDC Flats (excluding those privatised),0,2000
Bukit Batok,Hillview,Landed Properties,2490,2000
Bukit Batok,Hillview,Condominiums and Other Apartments,7410,2000
Bukit Batok,Hillview,Others,90,2000
Bukit Batok,Hong Kah,HDB 1- and 2-Room Flats,0,2000
Bukit Batok,Hong Kah,HDB 3-Room Flats,8720,2000
Bukit Batok,Hong Kah,HDB 4-Room Flats,15340,2000
Bukit Batok,Hong Kah,HDB 5-Room and Executive Flats,4620,2000
Bukit Batok,Hong Kah,HUDC Flats (excluding those privatised),0,2000
Bukit Batok,Hong Kah,Landed Properties,0,2000
Bukit Batok,Hong Kah,Condominiums and Other Apartments,0,2000
Bukit Batok,Hong Kah,Others,260,2000
Bukit Merah,Alexandra Hill,HDB 1- and 2-Room Flats,3440,2000
Bukit Merah,Alexandra Hill,HDB 3-Room Flats,3690,2000
Bukit Merah,Alexandra Hill,HDB 4-Room Flats,4370,2000
Bukit Merah,Alexandra Hill,HDB 5-Room and Executive Flats,3360,2000
Bukit Merah,Alexandra Hill,HUDC Flats (excluding those privatised),0,2000
Bukit Merah,Alexandra Hill,Landed Properties,0,2000
Bukit Merah,Alexandra Hill,Condominiums and Other Apartments,0,2000
Bukit Merah,Alexandra Hill,Others,260,2000
Bukit Merah,Alexandra North,HDB 1- and 2-Room Flats,0,2000
Bukit Merah,Alexandra North,HDB 3-Room Flats,0,2000
Bukit Merah,Alexandra North,HDB 4-Room Flats,0,2000
Bukit Merah,Alexandra North,HDB 5-Room and Executive Flats,0,2000
Bukit Merah,Alexandra North,HUDC Flats (excluding those privatised),0,2000
Bukit Merah,Alexandra North,Landed Properties,0,2000
Bukit Merah,Alexandra North,Condominiums and Other Apartments,0,2000
Bukit Merah,Alexandra North,Others,0,2000
Bukit Merah,Bukit Ho Swee,HDB 1- and 2-Room Flats,4660,2000
Bukit Merah,Bukit Ho Swee,HDB 3-Room Flats,10310,2000
Bukit Merah,Bukit Ho Swee,HDB 4-Room Flats,2230,2000
Bukit Merah,Bukit Ho Swee,HDB 5-Room and Executive Flats,1920,2000
Bukit Merah,Bukit Ho Swee,HUDC Flats (excluding those privatised),0,2000
Bukit Merah,Bukit Ho Swee,Landed Properties,0,2000
Bukit Merah,Bukit Ho Swee,Condominiums and Other Apartments,420,2000
Bukit Merah,Bukit Ho Swee,Others,220,2000
Bukit Merah,Bukit Merah,HDB 1- and 2-Room Flats,0,2000
Bukit Merah,Bukit Merah,HDB 3-Room Flats,220,2000
Bukit Merah,Bukit Merah,HDB 4-Room Flats,20,2000
Bukit Merah,Bukit Merah,HDB 5-Room and Executive Flats,1110,2000
Bukit Merah,Bukit Merah,HUDC Flats (excluding those privatised),0,2000
Bukit Merah,Bukit Merah,Landed Properties,0,2000
Bukit Merah,Bukit Merah,Condominiums and Other Apartments,0,2000
Bukit Merah,Bukit Merah,Others,80,2000
Bukit Merah,Depot Road,HDB 1- and 2-Room Flats,0,2000
Bukit Merah,Depot Road,HDB 3-Room Flats,1700,2000
Bukit Merah,Depot Road,HDB 4-Room Flats,950,2000
Bukit Merah,Depot Road,HDB 5-Room and Executive Flats,1330,2000
Bukit Merah,Depot Road,HUDC Flats (excluding those privatised),0,2000
Bukit Merah,Depot Road,Landed Properties,0,2000
Bukit Merah,Depot Road,Condominiums and Other Apartments,1150,2000
Bukit Merah,Depot Road,Others,220,2000
Bukit Merah,Everton Park,HDB 1- and 2-Room Flats,130,2000
Bukit Merah,Everton Park,HDB 3-Room Flats,1660,2000
Bukit Merah,Everton Park,HDB 4-Room Flats,290,2000
Bukit Merah,Everton Park,HDB 5-Room and Executive Flats,3020,2000
Bukit Merah,Everton Park,HUDC Flats (excluding those privatised),0,2000
Bukit Merah,Everton Park,Landed Properties,140,2000
Bukit Merah,Everton Park,Condominiums and Other Apartments,940,2000
Bukit Merah,Everton Park,Others,240,2000
Bukit Merah,Henderson Hill,HDB 1- and 2-Room Flats,4730,2000
Bukit Merah,Henderson Hill,HDB 3-Room Flats,6620,2000
Bukit Merah,Henderson Hill,HDB 4-Room Flats,4550,2000
Bukit Merah,Henderson Hill,HDB 5-Room and Executive Flats,1000,2000
Bukit Merah,Henderson Hill,HUDC Flats (excluding those privatised),0,2000
Bukit Merah,Henderson Hill,Landed Properties,0,2000
Bukit Merah,Henderson Hill,Condominiums and Other Apartments,0,2000
Bukit Merah,Henderson Hill,Others,100,2000
Bukit Merah,Kampong Tiong Bahru,HDB 1- and 2-Room Flats,1600,2000
Bukit Merah,Kampong Tiong Bahru,HDB 3-Room Flats,7170,2000
Bukit Merah,Kampong Tiong Bahru,HDB 4-Room Flats,2730,2000
Bukit Merah,Kampong Tiong Bahru,HDB 5-Room and Executive Flats,1360,2000
Bukit Merah,Kampong Tiong Bahru,HUDC Flats (excluding those privatised),0,2000
Bukit Merah,Kampong Tiong Bahru,Landed Properties,0,2000
Bukit Merah,Kampong Tiong Bahru,Condominiums and Other Apartments,0,2000
Bukit Merah,Kampong Tiong Bahru,Others,180,2000
Bukit Merah,Maritime Square,HDB 1- and 2-Room Flats,0,2000
Bukit Merah,Maritime Square,HDB 3-Room Flats,0,2000
Bukit Merah,Maritime Square,HDB 4-Room Flats,0,2000
Bukit Merah,Maritime Square,HDB 5-Room and Executive Flats,0,2000
Bukit Merah,Maritime Square,HUDC Flats (excluding those privatised),0,2000
Bukit Merah,Maritime Square,Landed Properties,100,2000
Bukit Merah,Maritime Square,Condominiums and Other Apartments,420,2000
Bukit Merah,Maritime Square,Others,140,2000
Bukit Merah,Redhill,HDB 1- and 2-Room Flats,2180,2000
Bukit Merah,Redhill,HDB 3-Room Flats,7030,2000
Bukit Merah,Redhill,HDB 4-Room Flats,660,2000
Bukit Merah,Redhill,HDB 5-Room and Executive Flats,1620,2000
Bukit Merah,Redhill,HUDC Flats (excluding those privatised),0,2000
Bukit Merah,Redhill,Landed Properties,0,2000
Bukit Merah,Redhill,Condominiums and Other Apartments,0,2000
Bukit Merah,Redhill,Others,150,2000
Bukit Merah,Singapore General Hospital,HDB 1- and 2-Room Flats,0,2000
Bukit Merah,Singapore General Hospital,HDB 3-Room Flats,0,2000
Bukit Merah,Singapore General Hospital,HDB 4-Room Flats,0,2000
Bukit Merah,Singapore General Hospital,HDB 5-Room and Executive Flats,0,2000
Bukit Merah,Singapore General Hospital,HUDC Flats (excluding those privatised),0,2000
Bukit Merah,Singapore General Hospital,Landed Properties,0,2000
Bukit Merah,Singapore General Hospital,Condominiums and Other Apartments,0,2000
Bukit Merah,Singapore General Hospital,Others,0,2000
Bukit Merah,Tanjong Pagar,HDB 1- and 2-Room Flats,0,2000
Bukit Merah,Tanjong Pagar,HDB 3-Room Flats,0,2000
Bukit Merah,Tanjong Pagar,HDB 4-Room Flats,0,2000
Bukit Merah,Tanjong Pagar,HDB 5-Room and Executive Flats,0,2000
Bukit Merah,Tanjong Pagar,HUDC Flats (excluding those privatised),0,2000
Bukit Merah,Tanjong Pagar,Landed Properties,0,2000
Bukit Merah,Tanjong Pagar,Condominiums and Other Apartments,0,2000
Bukit Merah,Tanjong Pagar,Others,0,2000
Bukit Merah,Telok Blangah Drive,HDB 1- and 2-Room Flats,1340,2000
Bukit Merah,Telok Blangah Drive,HDB 3-Room Flats,6110,2000
Bukit Merah,Telok Blangah Drive,HDB 4-Room Flats,5850,2000
Bukit Merah,Telok Blangah Drive,HDB 5-Room and Executive Flats,3160,2000
Bukit Merah,Telok Blangah Drive,HUDC Flats (excluding those privatised),0,2000
Bukit Merah,Telok Blangah Drive,Landed Properties,0,2000
Bukit Merah,Telok Blangah Drive,Condominiums and Other Apartments,450,2000
Bukit Merah,Telok Blangah Drive,Others,130,2000
Bukit Merah,Telok Blangah Rise,HDB 1- and 2-Room Flats,760,2000
Bukit Merah,Telok Blangah Rise,HDB 3-Room Flats,6230,2000
Bukit Merah,Telok Blangah Rise,HDB 4-Room Flats,7070,2000
Bukit Merah,Telok Blangah Rise,HDB 5-Room and Executive Flats,1430,2000
Bukit Merah,Telok Blangah Rise,HUDC Flats (excluding those privatised),0,2000
Bukit Merah,Telok Blangah Rise,Landed Properties,140,2000
